'Letter', 'Count', 'Percentage'
'a', 8099, 10.25462464705808
'b', 5359, 6.78534800389977
'c', 5986, 7.579229921877968
'd', 3551, 4.496131883158815
'e', 3032, 3.838995175932843
'f', 2542, 3.218577090112561
'g', 1231, 1.5586421707036047
'h', 3835, 4.855721141062814
'i', 2319, 2.9362235530963927
'j', 201, 0.25449803112219704
'k', 201, 0.25449803112219704
'l', 1067, 1.350992035857633
'm', 3338, 4.226439939730815
'n', 1053, 1.3332658048341965
'o', 1197, 1.51559275250383
'p', 7608, 9.632940401878981
'q', 889, 1.1256156699882247
'r', 4461, 5.648336899682194
's', 10557, 13.366844351030021
't', 6821, 8.636472986490078
'u', 622, 0.7875511211841123
'v', 823, 1.0420491523063093
'w', 2369, 2.9995315210372375
'y', 1810, 2.2917484394585905
'z', 8, 0.010129274870535207
'Letter', 'Count', 'Percentage'
'a', 9253, 11.715772547132783
'b', 238, 0.30134592739842236
'c', 2064, 2.6133529165980827
'd', 336, 0.4254295445624786
'e', 10022, 12.68944909406298
'f', 280, 0.3545246204687322
'g', 107, 0.13547905139340838
'h', 6401, 8.104686055786981
'i', 4803, 6.081363400397574
'j', 4, 0.0050646374352676035
'k', 82, 0.10382506742298585
'l', 2420, 3.0641056483369
'm', 939, 1.1889236379290697
'n', 6834, 8.6529330581547
'o', 13822, 17.500854657567203
'p', 1175, 1.4877372466098584
'q', 101, 0.12788209524050698
'r', 7722, 9.777282568784107
's', 264, 0.3342660707276618
't', 2789, 3.531318451740336
'u', 6903, 8.740298053913067
'v', 1170, 1.4814064498157737
'w', 308, 0.3899770825156054
'x', 667, 0.8445282923308728
'y', 274, 0.3469276643158308
'z', 1, 0.0012661593588169009
'Letter', 'Count', 'Percentage'
'a', 5346, 6.768887932235152
'b', 526, 0.6659998227376898
'c', 3330, 4.21631066486028
'd', 1146, 1.4510186252041681
'e', 6925, 8.768153559807038
'f', 781, 0.9888704592359995
'g', 2255, 2.855189354132111
'h', 278, 0.3519923017510984
'i', 5151, 6.521986857265856
'j', 168, 0.2127147722812393
'k', 58, 0.07343724281138024
'l', 3223, 4.080831613466871
'm', 6729, 8.519986325478925
'n', 4541, 5.749629648387546
'o', 6247, 7.90969751452918
'p', 4535, 5.742032692234645
'q', 145, 0.18359310702845058
'r', 7038, 8.911229567353347
's', 6064, 7.677990351865686
't', 4794, 6.069967966168222
