'Letter', 'Count', 'Percentage'
'a', 70489, 41.121838812239304
'b', 99, 0.057754572236968754
'c', 25, 0.014584487938628475
'd', 32, 0.018668144561444448
'e', 25, 0.014584487938628475
'f', 27, 0.01575124697371875
'g', 14, 0.008167313245631946
'h', 18, 0.010500831315812502
'i', 99887, 58.27202986903129
'j', 110, 0.0641717469299653
'k', 19, 0.01108421083335764
'l', 8, 0.004667036140361112
'm', 99, 0.057754572236968754
'n', 77, 0.0449202228509757
'o', 131, 0.07642271679841321
'p', 14, 0.008167313245631946
'q', 16, 0.009334072280722224
'r', 22, 0.012834349385993057
's', 48, 0.02800221684216667
't', 58, 0.03383601201761806
'u', 10, 0.00583379517545139
'v', 9, 0.005250415657906251
'w', 7, 0.004083656622815973
'x', 34, 0.019834903596534725
'y', 26, 0.015167867456173614
'z', 111, 0.06475512644751043
