'Letter', 'Count', 'Percentage'
'a', 7320, 1.0039527209587473
'b', 26263, 3.602023266467156
'c', 27625, 3.788824305530792
'd', 45803, 6.281973562578348
'e', 11778, 1.6153763862639516
'f', 27392, 3.756867886953826
'g', 21435, 2.939853357069775
'h', 57016, 7.8198590625934346
'i', 7712, 1.0577163092942432
'j', 20180, 2.767727583189552
'k', 32080, 4.399836514802816
'l', 46285, 6.348080831909238
'm', 34717, 4.761506367967874
'n', 12764, 1.750608269169051
'o', 11810, 1.61976525061787
'p', 9751, 1.3373692598454572
'q', 355, 0.04868896392627805
'r', 9891, 1.3565705413938485
's', 45518, 6.242885239426266
't', 119673, 16.41339261957598
'u', 1874, 0.2570228687263241
'v', 4508, 0.6182812658582013
'w', 116361, 15.959145158945464
'x', 21, 0.0028801922322587016
'y', 30717, 4.212898323728121
'z', 269, 0.03689389097512337
'Letter', 'Count', 'Percentage'
'a', 119209, 16.349754086444168
'b', 579, 0.07941101440370421
'c', 350, 0.04800320387097836
'd', 1619, 0.2220491059060399
'e', 117618, 16.131545236847806
'f', 12, 0.001645824132719258
'g', 303, 0.04155705935116127
'h', 137316, 18.83316555070647
'i', 92453, 12.680114878524465
'j', 2, 0.00027430402211987636
'k', 276, 0.03785395505254294
'l', 7302, 1.0014839847596684
'm', 184, 0.025235970035028626
'n', 33014, 4.527936493132799
'o', 139662, 19.154924168653086
'p', 1371, 0.18803540716317524
'q', 2, 0.00027430402211987636
'r', 12475, 1.7109713379727287
's', 3917, 0.5372244273217778
't', 4910, 0.6734163743042965
'u', 42086, 5.772179537468558
'v', 10561, 1.4484623888040071
'w', 2740, 0.37579651030423056
'x', 95, 0.013029441050694127
'y', 1060, 0.14538113172353448
'z', 2, 0.00027430402211987636
'Letter', 'Count', 'Percentage'
'a', 105655, 14.490795728537767
'b', 1790, 0.24550209979728932
'c', 24043, 3.2975458019140937
'd', 7290, 0.9998381606269493
'e', 79474, 10.900018926977527
'f', 6927, 0.9500519806121916
'g', 2298, 0.3151753214157379
'h', 917, 0.1257683941419633
'i', 39450, 5.410646836314561
'j', 27, 0.003703104298618331
'k', 27697, 3.7986992503271075
'l', 59131, 8.109935565985204
'm', 31635, 4.338803869881144
'n', 77065, 10.569619732334134
'o', 57788, 7.925740415131707
'p', 3345, 0.4587734769954932
'r', 56192, 7.706845805480047
's', 39682, 5.442466102880466
't', 31068, 4.261038679610159
'u', 28371, 3.891139705781506
'v', 34759, 4.767266752432391
'w', 6979, 0.9571838851873085
'x', 1472, 0.201887760280229
'y', 5539, 0.7596849892609976
'z', 524, 0.0718676537954076
'Letter', 'Count', 'Percentage'
'a', 3394, 0.4654939255374302
'b', 1124, 0.1541588604313705
'c', 86, 0.011795072951154683
'd', 43903, 6.021384741564466
'e', 160804, 22.054591986482297
'f', 1740, 0.2386444992442924
'g', 5030, 0.689874615631489
'h', 34003, 4.663579832071077
'i', 283, 0.038814019129962504
'j', 3, 0.0004114560331798145
'k', 31980, 4.3861213136968225
'l', 48776, 6.689726491459544
'm', 17826, 2.4448717491544576
'n', 46468, 6.373179649933207
'o', 4903, 0.6724563102268768
'p', 10669, 1.4632748059984804
'q', 14, 0.0019201281548391342
'r', 37325, 5.119198812812193
's', 54758, 7.510169821620094
't', 165053, 22.637350881475975
'u', 316, 0.04334003549494046
'v', 13, 0.0017829761437791964
'w', 26439, 3.6261620204137057
'x', 108, 0.014812417194473324
'y', 33773, 4.632034869527292
'z', 327, 0.04484870761659979
