'Letter', 'Count', 'Percentage'
'a', 27664, 7.425460870312114
'b', 13980, 3.7524560066137704
'c', 19833, 5.323494991357005
'd', 17167, 4.607897873071431
'e', 4957, 1.3305382278100475
'f', 12427, 3.3356059223311396
'g', 23881, 6.410043053930147
'h', 13517, 3.6281793877967337
'i', 943, 0.25311631003124363
'j', 3149, 0.8452420575698687
'k', 3113, 0.8355790807288032
'l', 12118, 3.2526653711119935
'm', 16607, 4.4575848999881895
'n', 10981, 2.9474763525483416
'o', 5140, 1.3796583600854637
'p', 12138, 3.2580336915792527
'q', 1686, 0.4525494153899011
'r', 14787, 3.969067737467656
's', 32752, 8.791161597182704
't', 61305, 16.455244312264465
'u', 3130, 0.840142153125973
'v', 1399, 0.37551401668474
'w', 39153, 10.509292562728826
'x', 22, 0.005905152513984475
'y', 20646, 5.541717218351066
'z', 61, 0.016373377425138773
'Letter', 'Count', 'Percentage'
'a', 33654, 9.033272850256068
'b', 14163, 3.801576138889187
'c', 1437, 0.38571382557253137
'd', 818, 0.21956430711087732
'e', 32714, 8.780961788294913
'f', 2943, 0.789948356757105
'g', 2897, 0.7776012196824101
'h', 73410, 19.70442027507274
'i', 40968, 10.996467645132544
'j', 13, 0.0034894083037180987
'k', 199, 0.05341478864922321
'l', 14309, 3.840764878300175
'm', 2025, 0.5435424473099346
'n', 5860, 1.5729178969067739
'o', 85594, 22.974801103726687
'p', 3304, 0.8868465411911229
'q', 144, 0.038651907364262016
'r', 24974, 6.703421767465831
's', 1550, 0.41604483621254257
't', 13309, 3.572348854937244
'u', 12587, 3.3785524860692084
'v', 2087, 0.5601842407584363
'w', 2299, 0.6170884377113777
'x', 409, 0.10978215355543866
'y', 847, 0.22734837178840228
'z', 42, 0.011273472981243088
'Letter', 'Count', 'Percentage'
'a', 52179, 14.005679683054359
'b', 1392, 0.37363510452119947
'c', 2737, 0.7346546559443412
'd', 11629, 3.1214099356875207
'e', 44148, 11.850030599426663
'f', 1580, 0.4240973169134305
'g', 18974, 5.092925627288246
'h', 2886, 0.774648643425418
'i', 51542, 13.834698676172172
'j', 599, 0.16078119799439547
'k', 3907, 1.04870140327897
'l', 7711, 2.0697559561515586
'm', 7343, 1.9709788595539999
'n', 19652, 5.274911691128314
'o', 37969, 10.191487991067115
'p', 2382, 0.6393669676505008
'r', 24388, 6.546129977775153
's', 6552, 1.7586617850739217
't', 12784, 3.4314304426717053
'u', 44861, 12.041411224084433
'v', 10613, 2.848699255950783
'w', 1192, 0.3199518998486134
'x', 710, 0.19057537658768078
'y', 4501, 1.208140521156551
'z', 325, 0.08723520759295247
'Letter', 'Count', 'Percentage'
'a', 13352, 3.5838907439418506
'b', 4889, 1.312285938221368
'c', 17173, 4.609508369211608
'd', 6888, 1.8488495689238664
'e', 46760, 12.551133252450638
'f', 1982, 0.5320005583053287
'g', 2753, 0.7389493123181481
'h', 17053, 4.577298446408057
'i', 12272, 3.294001438709885
'j', 15, 0.00402624035044396
'k', 6175, 1.657468944266097
'l', 30376, 8.153405125672382
'm', 3751, 1.006828503634353
'n', 66143, 17.753841033294325
'o', 5243, 1.4073052104918455
'p', 2310, 0.6200410139683699
'q', 13, 0.0034894083037180987
'r', 52751, 14.159213648417957
's', 21866, 5.869184766853842
't', 32060, 8.605417709015557
'u', 16720, 4.4879159106282005
'v', 7554, 2.0276146404835784
'w', 2454, 0.6586929213326318
'x', 3, 0.000805248070088792
'y', 684, 0.18359655998024457
'z', 1316, 0.3532354867456168
'Letter', 'Count', 'Percentage'
'a', 9557, 2.5652519352795284
'b', 201, 0.05395162069594907
'c', 884, 0.23727976465283074
'd', 29954, 8.040133563813226
'e', 78703, 21.125146286732733
'f', 2099, 0.5634052330387914
'g', 23002, 6.174105369394131
'h', 12328, 3.3090327360182097
'i', 259, 0.06951975005099904
'k', 20634, 5.538496226070712
'l', 9553, 2.5641782711860768
'm', 1165, 0.3127046672178142
'n', 11812, 3.1705300679629373
'o', 2746, 0.7370704001546077
'p', 1827, 0.49039607468407437
'q', 5, 0.0013420801168146535
'r', 22277, 5.979503752456006
's', 56491, 15.163089575795317
't', 59733, 16.033294323537937
'u', 41, 0.011005056957880158
'w', 992, 0.26626869517602725
'x', 372, 0.0998507606910102
'y', 27869, 7.480486155101515
'z', 52, 0.013957633214872395
