'Letter', 'Count', 'Percentage'
'a', 3083, 6.4879311433321405
'b', 2837, 5.970243481554747
'c', 4611, 9.703487026242135
'd', 3461, 7.283402428502283
'e', 2952, 6.212251941328732
'f', 1298, 2.7315389633620235
'g', 1342, 2.8241335044929397
'h', 1292, 2.7189124350259894
'i', 2638, 5.551463625076285
'j', 98, 0.20623329615522212
'k', 201, 0.4229886992571393
'l', 740, 1.557271828110861
'm', 1296, 2.727330120583346
'n', 829, 1.744565331762032
'o', 1264, 2.6599886361244973
'p', 3187, 6.706790967823396
'q', 494, 1.0395841663334666
'r', 1460, 3.072455228434942
's', 10873, 22.881373766282962
't', 1297, 2.7294345419726844
'u', 353, 0.7428607504366674
'v', 342, 0.7197121151539384
'w', 1216, 2.5589764094362257
'y', 353, 0.7428607504366674
'z', 2, 0.004208842778678002
'Letter', 'Count', 'Percentage'
'a', 3728, 7.845282939455797
'b', 447, 0.9406763610345336
'c', 677, 1.4246932805825039
'd', 351, 0.7386519076579895
'e', 7862, 16.544960962983225
'f', 433, 0.9112144615837875
'g', 101, 0.2125465603232391
'h', 1511, 3.179780719291231
'i', 3917, 8.243018582040868
'j', 4, 0.008417685557356005
'k', 20, 0.04208842778678002
'l', 907, 1.9087102001304743
'm', 1581, 3.327090216544961
'n', 2300, 4.840169195479703
'o', 12691, 26.707211852101263
'p', 916, 1.9276499926345254
'q', 138, 0.29041015172878215
'r', 3404, 7.16345040930996
's', 339, 0.7133988509859214
't', 1111, 2.3380121635556304
'u', 2643, 5.56198573202298
'v', 1187, 2.4979481891453945
'w', 99, 0.20833771754456112
'x', 1005, 2.1149434962856963
'y', 146, 0.3072455228434942
'z', 1, 0.002104421389339001
'Letter', 'Count', 'Percentage'
'a', 3437, 7.232896315158148
'b', 387, 0.8144110776741934
'c', 2001, 4.210947200067341
'd', 890, 1.8729350365117112
'e', 4128, 8.687051495191398
'f', 1666, 3.5059660346387758
'g', 1022, 2.1507186599044594
'h', 360, 0.7575917001620404
'i', 1438, 3.0261579578694837
'j', 137, 0.2883057303394432
'k', 14, 0.029461899450746017
'l', 1854, 3.901597255834508
'm', 8285, 17.435131210673624
'n', 3902, 8.211452261200783
'o', 1930, 4.061533281424272
'p', 2556, 5.378901071150487
'q', 68, 0.14310065447505207
'r', 4595, 9.669816284012711
's', 3131, 6.588943370020413
't', 3435, 7.22868747237947
'u', 872, 1.8350554515036093
'v', 804, 1.6919547970285571
'w', 208, 0.4377196489825122
'x', 70, 0.14730949725373008
'y', 309, 0.6502662093057514
'z', 20, 0.04208842778678002
'Letter', 'Count', 'Percentage'
'a', 2022, 4.25514004924346
'b', 270, 0.5681937751215304
'c', 1496, 3.1482143984511457
'd', 1864, 3.9226414697278984
'e', 12612, 26.540962562343484
'f', 1908, 4.015236010858814
'g', 997, 2.098108125170984
'h', 952, 2.003409162650729
'i', 3216, 6.7678191881142284
'j', 38, 0.07996801279488205
'k', 277, 0.5829247248469034
'l', 1926, 4.053115595866917
'm', 1112, 2.3401165849449694
'n', 1514, 3.1860939834592474
'o', 2107, 4.434015867337275
'p', 1737, 3.6553799532818454
'q', 50, 0.10522106946695006
'r', 3965, 8.34403080872914
's', 2323, 4.8885708874345
't', 3882, 8.169363833414003
'u', 2355, 4.955912371893348
'v', 415, 0.8733348765756855
'w', 200, 0.42088427786780025
'x', 74, 0.1557271828110861
'y', 95, 0.19992003198720512
'z', 112, 0.23569519560596813
'Letter', 'Count', 'Percentage'
'a', 3612, 7.601170058292473
'b', 522, 1.0985079652349585
'c', 1897, 3.992087375576085
'd', 598, 1.2584439908247227
'e', 7316, 15.395946884404133
'f', 292, 0.6144910456869884
'g', 650, 1.3678739030703508
'h', 777, 1.635135419516404
'i', 3987, 8.390328079294598
'j', 27, 0.05681937751215304
'k', 405, 0.8522906626822955
'l', 1786, 3.758496601359456
'm', 509, 1.0711504871735515
'n', 2320, 4.882257623266483
'o', 2336, 4.915928365495907
'p', 1020, 2.1465098171257813
'q', 8, 0.01683537111471201
'r', 4289, 9.025863338874975
's', 1947, 4.097308445043035
