'Letter', 'Count', 'Percentage'
'a', 15472, 7.585689561342009
'b', 14072, 6.899290557601133
'c', 16071, 7.879370277942568
'd', 8708, 4.26940180326824
'e', 6787, 3.3275643131352255
'f', 11082, 5.433338399611695
'g', 3720, 1.823860209940038
'h', 7541, 3.697239205149953
'i', 2592, 1.270818726925962
'j', 1728, 0.847212484617308
'k', 2169, 1.0634281707956836
'l', 11795, 5.782911606516868
'm', 13322, 6.531576805597093
'n', 3795, 1.860631585140442
'o', 2552, 1.25120732681908
'p', 16721, 8.198055529679403
'q', 150, 0.07354275040080799
'r', 10549, 5.172016493187489
's', 22313, 10.939729264621525
't', 22059, 10.815196873942822
'u', 1130, 0.5540220530194202
'v', 1263, 0.6192299583748032
'w', 8060, 3.9516971215367493
'y', 247, 0.12110039565999715
'z', 65, 0.031868525173683465
'Letter', 'Count', 'Percentage'
'a', 29387, 14.40800537352363
'b', 321, 0.1573814858577291
'c', 3698, 1.8130739398812528
'd', 626, 0.30691841167270534
'e', 32887, 16.124002882875814
'f', 2141, 1.049700190720866
'g', 354, 0.17356089094590688
'h', 25488, 12.496384148105294
'i', 22851, 11.203502596059089
'j', 1, 0.0004902850026720533
'k', 154, 0.0755038904114962
'l', 10011, 4.908243161749925
'm', 684, 0.33535494182768444
'n', 8504, 4.169383662723141
'o', 29874, 14.64677416982492
'p', 1488, 0.7295440839760152
'q', 216, 0.1059015605771635
'r', 14700, 7.207189539279183
's', 1834, 0.8991826949005457
't', 4643, 2.2763932674063434
'u', 9015, 4.41991929908856
'v', 169, 0.08285816545157701
'w', 1337, 0.6555110485725353
'x', 1864, 0.9138912449807073
'y', 1709, 0.8378970695665391
'z', 7, 0.0034319950187043724
'Letter', 'Count', 'Percentage'
'a', 16893, 8.282384550138996
'b', 2453, 1.2026691115545467
'c', 8713, 4.2718532282816
'd', 3116, 1.5277280683261178
'e', 22612, 11.086324480420469
'f', 5225, 2.5617391389614785
'g', 3122, 1.5306697783421503
'h', 2801, 1.3732882924844212
'i', 11165, 5.474032054833475
'j', 193, 0.09462500551570628
'k', 2476, 1.2139456666160038
'l', 10509, 5.152405093080608
'm', 8141, 3.9914102067531854
'n', 11977, 5.872143477003182
'o', 19419, 9.520844466888603
'p', 3619, 1.7743414246701605
'q', 101, 0.04951878526987738
'r', 16616, 8.146575604398837
's', 11785, 5.778008756490148
't', 19559, 9.589484367262688
'u', 7641, 3.746267705417159
'v', 5290, 2.5936076641351615
'w', 3798, 1.8621024401484583
'x', 435, 0.21327397616234317
'y', 6068, 2.975049396214019
'z', 236, 0.11570726063060456
'Letter', 'Count', 'Percentage'
'a', 12067, 5.916269127243667
'b', 2139, 1.0487196207155218
'c', 2282, 1.1188303760976257
'd', 5939, 2.911802630869324
'e', 16656, 8.16618700450572
'f', 1078, 0.5285272328804734
'g', 5873, 2.879443820692969
'h', 6516, 3.194697077411099
'i', 25047, 12.280168461926918
'j', 28, 0.01372798007481749
'k', 5636, 2.763246275059692
'l', 12984, 6.365860474693939
'm', 2774, 1.3600505974122756
'n', 15057, 7.382221285233107
'o', 12844, 6.297220574319852
'p', 8643, 4.237533278094556
'q', 84, 0.04118394022445247
'r', 12943, 6.345758789584385
's', 7771, 3.8100047557645262
't', 23770, 11.654074513514706
'u', 14246, 6.984600148066071
'v', 1820, 0.8923187048631369
'w', 2443, 1.1977662615278262
'x', 13, 0.006373705034736693
'y', 5058, 2.4798615435152453
'z', 252, 0.12355182067335742
'Letter', 'Count', 'Percentage'
'a', 5956, 2.9201374759147494
'b', 139, 0.0681496153714154
'c', 7057, 3.4599412638566798
'd', 3852, 1.8885778302927492
'e', 57908, 28.39142393473326
'f', 189, 0.09266386550501807
'g', 8182, 4.011511891862741
'h', 2762, 1.354167177380211
'i', 6186, 3.0329030265293215
'j', 2, 0.0009805700053441065
'k', 3497, 1.7145266543441704
'l', 28090, 13.772105725057976
'm', 1485, 0.7280732289679991
'n', 28117, 13.785343420130122
'o', 10343, 5.071017782637047
'p', 1495, 0.7329760789947196
'r', 14252, 6.9875418580821025
's', 9932, 4.869510646538833
't', 8145, 3.9933713467638734
'u', 1826, 0.8952604148791692
'v', 1112, 0.5451969229713232
'w', 243, 0.11913925564930894
'x', 30, 0.014708550080161597
'y', 3024, 1.482621848080289
'z', 139, 0.0681496153714154
'Letter', 'Count', 'Percentage'
'a', 1256, 0.6157979633560989
'b', 25, 0.01225712506680133
'c', 642, 0.3147629717154582
'd', 29333, 14.381529983379338
'e', 42059, 20.62089692738389
'f', 1512, 0.7413109240401445
'g', 12356, 6.05796149301589
'h', 4889, 2.3970033780636686
'i', 129, 0.06324676534469487
'k', 795, 0.3897765771242824
'l', 4967, 2.435245608272089
'm', 1306, 0.6403122134897016
'n', 11762, 5.766732201428691
'o', 758, 0.37163603202541634
'p', 598, 0.2931904315978878
'r', 23766, 11.652113373504019
's', 29596, 14.510474939082089
't', 18252, 8.948681868770317
'u', 87, 0.04265479523246864
'v', 43, 0.02108225511489829
'w', 1680, 0.8236788044890494
'x', 97, 0.047557645259189166
'y', 18026, 8.837877458166432
'z', 29, 0.014218265077489545
