'Letter', 'Count', 'Percentage'
'a', 16, 5.2805280528052805
'c', 152, 50.165016501650165
'd', 11, 3.6303630363036308
'e', 21, 6.9306930693069315
'g', 1, 0.33003300330033003
'h', 4, 1.3201320132013201
'i', 15, 4.9504950495049505
'm', 2, 0.6600660066006601
'n', 4, 1.3201320132013201
'p', 22, 7.2607260726072615
'r', 24, 7.920792079207921
's', 10, 3.3003300330033
't', 2, 0.6600660066006601
'u', 19, 6.270627062706271
'Letter', 'Count', 'Percentage'
'a', 4, 1.3201320132013201
'c', 8, 2.6402640264026402
'e', 32, 10.561056105610561
'h', 20, 6.6006600660066
'i', 13, 4.29042904290429
'l', 5, 1.65016501650165
'm', 1, 0.33003300330033003
'n', 39, 12.871287128712872
'o', 141, 46.53465346534654
'p', 1, 0.33003300330033003
'r', 3, 0.9900990099009901
's', 7, 2.31023102310231
't', 6, 1.9801980198019802
'u', 6, 1.9801980198019802
'x', 13, 4.29042904290429
'y', 1, 0.33003300330033003
'z', 3, 0.9900990099009901
'Letter', 'Count', 'Percentage'
'a', 16, 5.2805280528052805
'c', 29, 9.570957095709572
'd', 4, 1.3201320132013201
'e', 7, 2.31023102310231
'i', 4, 1.3201320132013201
'l', 3, 0.9900990099009901
'n', 138, 45.54455445544555
'o', 4, 1.3201320132013201
'p', 22, 7.2607260726072615
'r', 14, 4.62046204620462
's', 27, 8.91089108910891
't', 24, 7.920792079207921
'u', 3, 0.9900990099009901
'y', 8, 2.6402640264026402
'Letter', 'Count', 'Percentage'
'a', 13, 4.29042904290429
'b', 1, 0.33003300330033003
'c', 17, 5.6105610561056105
'd', 3, 0.9900990099009901
'e', 15, 4.9504950495049505
'f', 17, 5.6105610561056105
'g', 118, 38.943894389438945
'h', 8, 2.6402640264026402
'i', 3, 0.9900990099009901
'l', 3, 0.9900990099009901
'n', 4, 1.3201320132013201
'o', 34, 11.221122112211221
'p', 2, 0.6600660066006601
'r', 40, 13.2013201320132
's', 6, 1.9801980198019802
't', 6, 1.9801980198019802
'u', 12, 3.9603960396039604
'w', 1, 0.33003300330033003
'Letter', 'Count', 'Percentage'
'a', 27, 8.91089108910891
'b', 13, 4.29042904290429
'd', 3, 0.9900990099009901
'e', 20, 6.6006600660066
