'Letter', 'Count', 'Percentage'
'a', 29560, 5.465157770378328
'b', 23434, 4.332561136368258
'c', 12, 0.002218602613144111
'd', 22845, 4.223664724773101
'e', 2016, 0.3727252390082107
'f', 37, 0.006840691390527676
'g', 9816, 1.814816937551883
'h', 20610, 3.8104499880750113
'i', 148309, 27.419894579399166
'j', 20, 0.003697671021906852
'k', 25, 0.0046220887773835645
'l', 186, 0.034388340503733725
'm', 56417, 10.430575302145943
'n', 19060, 3.52388048387723
'o', 73202, 13.53384570728127
'p', 44, 0.008134876248195075
'q', 2, 0.00036976710219068523
'r', 64, 0.011832547270101927
's', 13265, 2.4524803052797193
't', 80528, 14.88830260260575
'u', 19363, 3.5799001998591184
'v', 8, 0.001479068408762741
'w', 20506, 3.7912220987610956
'x', 3, 0.0005546506532860278
'y', 1541, 0.2849055522379229
'z', 8, 0.001479068408762741
'Letter', 'Count', 'Percentage'
'a', 2180, 0.4030461413878469
'b', 2, 0.00036976710219068523
'c', 4, 0.0007395342043813705
'd', 3015, 0.557423906552458
'e', 91103, 16.843446155438997
'f', 52300, 9.669409722286417
'g', 3, 0.0005546506532860278
'h', 10291, 1.9026366243221706
'i', 1127, 0.2083637620844511
'k', 237, 0.0438174016095962
'l', 105, 0.01941277286501097
'm', 27475, 5.079675566344538
'n', 60410, 11.168815321669646
'o', 145255, 26.855260214353986
'p', 11640, 2.1520445347497876
'r', 10372, 1.9176121919608935
's', 42843, 7.920965979577763
't', 57557, 10.641342550394633
'u', 122, 0.022555793233631796
'v', 6, 0.0011093013065720555
'w', 53, 0.009798828208053157
'x', 61, 0.011277896616815898
'y', 24720, 4.570321383076869
