'Letter', 'Count', 'Percentage'
'a', 38, 7.196969696969697
'b', 1, 0.1893939393939394
'c', 13, 2.462121212121212
'd', 25, 4.734848484848484
'e', 27, 5.113636363636364
'f', 2, 0.3787878787878788
'g', 8, 1.5151515151515151
'h', 37, 7.007575757575757
'i', 63, 11.931818181818182
'j', 2, 0.3787878787878788
'k', 3, 0.5681818181818182
'l', 15, 2.840909090909091
'm', 40, 7.575757575757576
'n', 20, 3.787878787878788
'o', 30, 5.681818181818182
'p', 88, 16.666666666666664
'q', 1, 0.1893939393939394
'r', 19, 3.5984848484848486
's', 55, 10.416666666666668
't', 19, 3.5984848484848486
'u', 16, 3.0303030303030303
'v', 3, 0.5681818181818182
'z', 3, 0.5681818181818182
'Letter', 'Count', 'Percentage'
'a', 37, 7.007575757575757
'b', 1, 0.1893939393939394
'c', 11, 2.083333333333333
'd', 3, 0.5681818181818182
'e', 78, 14.772727272727273
'g', 1, 0.1893939393939394
'h', 42, 7.954545454545454
'i', 50, 9.469696969696969
'l', 26, 4.924242424242424
'm', 8, 1.5151515151515151
'n', 87, 16.477272727272727
'o', 33, 6.25
'p', 20, 3.787878787878788
'r', 31, 5.871212121212121
's', 18, 3.4090909090909087
't', 12, 2.272727272727273
'u', 26, 4.924242424242424
'v', 11, 2.083333333333333
'x', 1, 0.1893939393939394
'y', 32, 6.0606060606060606
'Letter', 'Count', 'Percentage'
'a', 17, 3.2196969696969697
'b', 5, 0.946969696969697
'c', 44, 8.333333333333332
'd', 26, 4.924242424242424
'e', 76, 14.393939393939394
'f', 1, 0.1893939393939394
'g', 2, 0.3787878787878788
'h', 5, 0.946969696969697
'i', 13, 2.462121212121212
'j', 1, 0.1893939393939394
'l', 22, 4.166666666666666
'm', 23, 4.356060606060606
'n', 25, 4.734848484848484
'o', 25, 4.734848484848484
'p', 54, 10.227272727272728
'r', 32, 6.0606060606060606
's', 40, 7.575757575757576
't', 74, 14.015151515151514
'u', 15, 2.840909090909091
'v', 2, 0.3787878787878788
'w', 1, 0.1893939393939394
'x', 3, 0.5681818181818182
'y', 22, 4.166666666666666
'Letter', 'Count', 'Percentage'
'a', 28, 5.303030303030303
'b', 1, 0.1893939393939394
'c', 45, 8.522727272727272
'd', 9, 1.7045454545454544
'e', 87, 16.477272727272727
'f', 1, 0.1893939393939394
'g', 7, 1.3257575757575757
'h', 27, 5.113636363636364
'i', 51, 9.659090909090908
'l', 8, 1.5151515151515151
'm', 6, 1.1363636363636365
'n', 12, 2.272727272727273
'o', 46, 8.712121212121213
'p', 17, 3.2196969696969697
'q', 1, 0.1893939393939394
'r', 85, 16.098484848484848
's', 13, 2.462121212121212
't', 52, 9.848484848484848
'u', 16, 3.0303030303030303
'v', 2, 0.3787878787878788
'w', 1, 0.1893939393939394
'x', 2, 0.3787878787878788
'y', 10, 1.893939393939394
'z', 1, 0.1893939393939394
'Letter', 'Count', 'Percentage'
'a', 25, 4.734848484848484
'b', 1, 0.1893939393939394
'c', 24, 4.545454545454546
'd', 22, 4.166666666666666
'e', 39, 7.386363636363637
'f', 4, 0.7575757575757576
'g', 4, 0.7575757575757576
'h', 20, 3.787878787878788
'i', 22, 4.166666666666666
'k', 1, 0.1893939393939394
'l', 12, 2.272727272727273
'm', 37, 7.007575757575757
'n', 25, 4.734848484848484
'o', 101, 19.12878787878788
'p', 22, 4.166666666666666
'r', 70, 13.257575757575758
's', 25, 4.734848484848484
't', 58, 10.984848484848484
'u', 3, 0.5681818181818182
'v', 2, 0.3787878787878788
'x', 2, 0.3787878787878788
'y', 8, 1.5151515151515151
'z', 1, 0.1893939393939394
'Letter', 'Count', 'Percentage'
'a', 25, 4.734848484848484
'b', 10, 1.893939393939394
'c', 38, 7.196969696969697
'd', 10, 1.893939393939394
'e', 38, 7.196969696969697
'f', 4, 0.7575757575757576
'g', 10, 1.893939393939394
'h', 17, 3.2196969696969697
'i', 33, 6.25
'j', 1, 0.1893939393939394
'k', 1, 0.1893939393939394
'l', 23, 4.356060606060606
'm', 23, 4.356060606060606
'n', 23, 4.356060606060606
'o', 93, 17.613636363636363
'p', 36, 6.8181818181818175
'r', 58, 10.984848484848484
's', 35, 6.628787878787879
't', 31, 5.871212121212121
'u', 5, 0.946969696969697
'v', 4, 0.7575757575757576
'w', 1, 0.1893939393939394
'y', 9, 1.7045454545454544
'Letter', 'Count', 'Percentage'
'a', 29, 5.492424242424242
'b', 4, 0.7575757575757576
'c', 17, 3.2196969696969697
'd', 14, 2.6515151515151514
'e', 47, 8.901515151515152
'f', 3, 0.5681818181818182
'g', 16, 3.0303030303030303
'h', 30, 5.681818181818182
'i', 41, 7.765151515151516
'j', 1, 0.1893939393939394
'k', 2, 0.3787878787878788
'l', 21, 3.977272727272727
'm', 18, 3.4090909090909087
'n', 32, 6.0606060606060606
'o', 88, 16.666666666666664
'p', 30, 5.681818181818182
'r', 49, 9.280303030303031
's', 20, 3.787878787878788
't', 32, 6.0606060606060606
'u', 20, 3.787878787878788
'v', 4, 0.7575757575757576
'x', 1, 0.1893939393939394
'y', 9, 1.7045454545454544
'Letter', 'Count', 'Percentage'
'a', 37, 7.007575757575757
'b', 11, 2.083333333333333
'c', 33, 6.25
'd', 11, 2.083333333333333
'e', 66, 12.5
'f', 2, 0.3787878787878788
'g', 11, 2.083333333333333
'h', 21, 3.977272727272727
'i', 32, 6.0606060606060606
'k', 1, 0.1893939393939394
'l', 32, 6.0606060606060606
'm', 27, 5.113636363636364
'n', 42, 7.954545454545454
'o', 50, 9.469696969696969
'p', 23, 4.356060606060606
'q', 1, 0.1893939393939394
'r', 42, 7.954545454545454
's', 21, 3.977272727272727
't', 42, 7.954545454545454
'u', 7, 1.3257575757575757
'v', 2, 0.3787878787878788
'w', 1, 0.1893939393939394
'y', 13, 2.462121212121212
'Letter', 'Count', 'Percentage'
'a', 48, 9.090909090909092
'b', 4, 0.7575757575757576
'c', 30, 5.681818181818182
'd', 12, 2.272727272727273
'e', 50, 9.469696969696969
'f', 4, 0.7575757575757576
'g', 13, 2.462121212121212
'h', 33, 6.25
'i', 51, 9.659090909090908
'j', 1, 0.1893939393939394
'k', 1, 0.1893939393939394
